Country,INFJ,ISFJ,INTP,ISFP,ENTP,INFP,ENTJ,ISTP,INTJ,ESFP,ESTJ,ENFP,ESTP,ISTJ,ENFJ,ESFJ
Afghanistan,0.0463,0.061,0.0549,0.046,0.0495,0.0686,0.0511,0.0434,0.0431,0.0527,0.1188,0.0796,0.0652,0.0629,0.0562,0.1006
Albania,0.0748,0.0449,0.0754,0.0334,0.0792,0.1045,0.0686,0.0233,0.0604,0.0405,0.0667,0.1045,0.0381,0.0418,0.0775,0.0665
Algeria,0.08,0.0337,0.141,0.0377,0.0739,0.1556,0.0535,0.033,0.0896,0.0279,0.0327,0.0857,0.0241,0.032,0.0556,0.044
Andorra,0.0791,0.0465,0.0512,0.0419,0.0372,0.1674,0.0465,0.0186,0.0326,0.0372,0.0605,0.1767,0.0187,0.0279,0.1163,0.0651
Angola,0.0771,0.0717,0.0564,0.0403,0.0448,0.1112,0.0492,0.0322,0.0466,0.0547,0.0592,0.0798,0.0368,0.0404,0.0807,0.1192
Antigua and Barbuda,0.0848,0.0853,0.0632,0.0592,0.047,0.1381,0.0279,0.0308,0.0328,0.0548,0.0421,0.1092,0.0245,0.0431,0.0632,0.094
Argentina,0.0884,0.044,0.106,0.0416,0.0544,0.1875,0.0309,0.0255,0.0652,0.0366,0.0245,0.1338,0.0174,0.0342,0.0625,0.0476
Armenia,0.0735,0.0472,0.0839,0.0268,0.0821,0.1138,0.0689,0.0197,0.069,0.0262,0.074,0.1057,0.027,0.0399,0.0792,0.0629
Australia,0.0772,0.0826,0.0478,0.0583,0.0391,0.15,0.0215,0.0202,0.0273,0.0587,0.0355,0.1483,0.0212,0.0304,0.0778,0.1038
Austria,0.0809,0.046,0.0906,0.0378,0.0657,0.1732,0.0347,0.0221,0.0525,0.0367,0.0384,0.1437,0.0226,0.0334,0.0664,0.0553
Azerbaijan,0.0603,0.0561,0.0804,0.0372,0.0663,0.1062,0.0571,0.0285,0.0528,0.0471,0.0857,0.0856,0.0308,0.0578,0.0742,0.0735
Bahamas,0.0847,0.0843,0.0633,0.0559,0.0483,0.132,0.0312,0.0318,0.0416,0.0341,0.0469,0.1077,0.0238,0.0535,0.0702,0.0906
Bahrain,0.076,0.0597,0.0564,0.047,0.051,0.1367,0.0419,0.0234,0.0394,0.051,0.0513,0.1339,0.03,0.03,0.0826,0.0898
Bangladesh,0.0697,0.06,0.0771,0.069,0.0449,0.1498,0.0295,0.0358,0.0418,0.0585,0.0442,0.1041,0.0314,0.0366,0.0639,0.0839
Barbados,0.0911,0.101,0.0642,0.0517,0.0408,0.1497,0.0277,0.0272,0.0498,0.0398,0.0382,0.0954,0.0244,0.0486,0.0669,0.0836
Belarus,0.0609,0.0524,0.1052,0.0412,0.0704,0.1135,0.0452,0.0468,0.0678,0.029,0.063,0.0941,0.0346,0.0664,0.0519,0.058
Belgium,0.0761,0.0563,0.0771,0.0414,0.061,0.1708,0.0297,0.0209,0.0383,0.0444,0.036,0.16,0.0237,0.0288,0.0664,0.0691
Belize,0.0831,0.0786,0.0599,0.0529,0.0472,0.1416,0.0217,0.022,0.0446,0.0583,0.037,0.1184,0.0299,0.039,0.0732,0.0925
Bhutan,0.0646,0.0758,0.0526,0.0625,0.0232,0.1566,0.026,0.014,0.0189,0.0688,0.0597,0.139,0.0119,0.0238,0.0653,0.1369
Bosnia and Herzegovina,0.0778,0.0346,0.1079,0.0286,0.0908,0.1375,0.0583,0.0209,0.0696,0.031,0.0479,0.1143,0.0294,0.0347,0.0686,0.0483
Botswana,0.0808,0.0688,0.0713,0.0608,0.0519,0.1491,0.0342,0.0254,0.0401,0.0395,0.0431,0.1199,0.0228,0.0338,0.0745,0.0838
Brazil,0.0938,0.049,0.0977,0.0383,0.0502,0.189,0.0275,0.0253,0.0645,0.0323,0.0278,0.1336,0.0186,0.0394,0.0631,0.0498
Brunei,0.0835,0.086,0.0396,0.1041,0.0243,0.1952,0.0119,0.0246,0.0202,0.0772,0.0245,0.122,0.0189,0.0223,0.0558,0.09
Bulgaria,0.0697,0.0391,0.1013,0.0321,0.09,0.1512,0.0536,0.0263,0.0553,0.0281,0.0495,0.1282,0.03,0.0365,0.0632,0.046
Burkina Faso,0.0805,0.0503,0.0537,0.0503,0.0436,0.1007,0.0235,0.0302,0.0202,0.0906,0.0302,0.1744,0.0369,0.0202,0.1074,0.0939
Cambodia,0.0733,0.0708,0.0427,0.068,0.037,0.1491,0.0218,0.0265,0.028,0.0681,0.0465,0.1273,0.0254,0.0321,0.0694,0.1139
Cameroon,0.0719,0.0803,0.0377,0.0439,0.0402,0.1096,0.0414,0.0207,0.0353,0.0682,0.0737,0.0798,0.0268,0.039,0.0817,0.1498
Canada,0.0843,0.0838,0.0592,0.0553,0.046,0.1574,0.0259,0.0229,0.035,0.0476,0.0356,0.1344,0.0221,0.0356,0.0721,0.0826
Chile,0.0935,0.046,0.1041,0.0396,0.0503,0.1963,0.0265,0.027,0.0672,0.0309,0.0254,0.1321,0.016,0.0369,0.0615,0.0468
China,0.056,0.0952,0.0571,0.0841,0.0435,0.1063,0.0303,0.0359,0.0374,0.0681,0.0541,0.0943,0.032,0.0474,0.0569,0.1016
Colombia,0.069,0.0437,0.0861,0.0354,0.06,0.1372,0.0402,0.0226,0.0527,0.0452,0.043,0.1379,0.0249,0.0333,0.0844,0.0844
Congo,0.0683,0.0763,0.0341,0.0382,0.0622,0.0502,0.0643,0.0322,0.0362,0.0602,0.0824,0.0924,0.0482,0.0542,0.0803,0.1205
Costa Rica,0.0692,0.0502,0.0798,0.0375,0.0636,0.1383,0.0368,0.0216,0.0535,0.0447,0.0373,0.1549,0.0236,0.0379,0.0795,0.0716
Croatia,0.0795,0.0411,0.0925,0.0321,0.077,0.1484,0.0474,0.0235,0.0605,0.0339,0.0478,0.128,0.0273,0.034,0.0713,0.0558
Cuba,0.0434,0.0614,0.0542,0.0433,0.0903,0.1228,0.0252,0.0289,0.0216,0.0578,0.0289,0.1986,0.0072,0.0434,0.0686,0.1047
Cyprus,0.0758,0.0512,0.0717,0.0384,0.0655,0.1384,0.0471,0.0208,0.0438,0.0414,0.0494,0.1295,0.0273,0.0353,0.0844,0.0797
Czech Republic,0.0806,0.049,0.1004,0.0393,0.0699,0.164,0.0344,0.0294,0.061,0.0379,0.042,0.1183,0.0285,0.0404,0.0511,0.0538
Congo (Kinshasa),0.0683,0.0763,0.0341,0.0382,0.0622,0.0502,0.0643,0.0322,0.0362,0.0602,0.0824,0.0924,0.0482,0.0542,0.0803,0.1205
Denmark,0.0834,0.0578,0.0709,0.047,0.0571,0.1621,0.0277,0.0245,0.0388,0.0482,0.0374,0.1497,0.0257,0.031,0.067,0.0719
Djibouti,0.0769,0.0573,0.0654,0.0622,0.0491,0.0966,0.0491,0.036,0.0491,0.0425,0.0491,0.1211,0.0507,0.0508,0.0524,0.0916
Dominica,0.0919,0.0786,0.0902,0.0563,0.0447,0.1474,0.0249,0.0249,0.0563,0.0373,0.0431,0.0936,0.0281,0.0389,0.058,0.0861
Dominican Republic,0.0789,0.0634,0.0652,0.0438,0.0495,0.1409,0.0308,0.0208,0.0415,0.0541,0.0384,0.1469,0.0255,0.0317,0.0834,0.0854
Ecuador,0.0647,0.05,0.0808,0.044,0.0642,0.1387,0.0323,0.0246,0.05,0.0577,0.0399,0.1465,0.0281,0.0339,0.0704,0.0741
Egypt,0.0665,0.0531,0.0719,0.0518,0.0586,0.122,0.0467,0.0336,0.0497,0.0523,0.0524,0.1176,0.0348,0.041,0.0767,0.071
El Salvador,0.0658,0.0487,0.0848,0.0403,0.059,0.1462,0.0341,0.0245,0.0553,0.0524,0.0409,0.1329,0.0242,0.0337,0.0678,0.0895
Estonia,0.0839,0.0566,0.0921,0.0458,0.0616,0.1762,0.0307,0.0303,0.0459,0.0342,0.036,0.1325,0.0258,0.0393,0.0597,0.049
Ethiopia,0.0599,0.0622,0.0677,0.0637,0.055,0.1152,0.0374,0.0295,0.0426,0.0667,0.0612,0.1,0.0263,0.0393,0.0684,0.1048
Faroe Islands,0.0888,0.0627,0.0856,0.0899,0.0357,0.1973,0.0127,0.0234,0.0314,0.0564,0.0372,0.1169,0.0207,0.0297,0.0553,0.0564
Fiji,0.077,0.0667,0.0371,0.0628,0.0409,0.1348,0.0246,0.0219,0.028,0.0651,0.0396,0.1464,0.0222,0.0232,0.0894,0.1205
Finland,0.0817,0.0595,0.091,0.0541,0.0525,0.1808,0.0235,0.0335,0.0491,0.0434,0.0338,0.1258,0.0255,0.0416,0.0488,0.0554
France,0.067,0.0587,0.0768,0.0536,0.0577,0.1465,0.0321,0.037,0.0418,0.0507,0.045,0.1293,0.035,0.0403,0.0611,0.0675
Georgia,0.0644,0.0423,0.1066,0.0275,0.0848,0.1094,0.0649,0.0271,0.0778,0.031,0.0715,0.0907,0.0376,0.0531,0.0577,0.0535
Germany,0.0851,0.0495,0.0934,0.0407,0.0595,0.1766,0.0335,0.0261,0.0533,0.0371,0.04,0.1266,0.0241,0.0362,0.0612,0.0568
Ghana,0.066,0.109,0.0399,0.0617,0.0361,0.0768,0.0322,0.0269,0.0382,0.0592,0.0829,0.0706,0.0318,0.0543,0.062,0.1527
Greece,0.079,0.0469,0.0874,0.0331,0.0743,0.1404,0.0539,0.023,0.0597,0.0314,0.0471,0.1274,0.0245,0.0365,0.0772,0.0581
